sensor_0_avg,sensor_1_avg,sensor_2_avg,Wind speed (m/s),wind_speed_4_avg,Pitch angle (°),sensor_6_avg,sensor_7_avg,sensor_8_avg,sensor_9_avg,sensor_10_avg,sensor_11_avg,sensor_12_avg,sensor_13_avg,sensor_14_avg,sensor_15_avg,sensor_16_avg,sensor_17_avg,sensor_18_avg,sensor_19_avg,sensor_20_avg,sensor_21_avg,sensor_22_avg,sensor_23_avg,sensor_24_avg,sensor_25_avg,sensor_26_avg,reactive_power_27_avg,reactive_power_28_avg,power_29_avg,power_30_avg,sensor_31_avg,sensor_32_avg,sensor_33_avg,sensor_34_avg,sensor_35_avg,sensor_36_avg,sensor_37_avg,sensor_38_avg,sensor_39_avg,sensor_40_avg,sensor_41_avg,sensor_42_avg,sensor_43_avg,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,Power (kW),sensor_51,Rotor speed (RPM),sensor_53_avg
25,125.5,26.1,14.7,13.7,8.3,32,44,106,42,43,65,54,62,79.0,106,98,100,1681.0,42,44,48,1.0,1655.3,1685.5,1664.4,50.0,0.207268293,-0.295658537,0.966195122,0.967853659,-0.10404878,399.5,396.8,398.4,50,52,51,70,78,75,50,99.4,37,0,330241,0,0,-35552,0,330241,-35552,14.8,26
25,82.8,-13.1,4.6,4.4,-0.6,33,44,101,44,38,54,52,55,63.0,76,75,76,1264.9,36,42,39,0.7,123.9,147.2,128.2,50.0,0.256926829,-0.256926829,0.061170732,0.060487805,-0.035902439,400.0,397.9,397.1,39,41,40,65,73,67,51,95.8,36,-182,21007,0,-154,-12123,0,20825,-12277,11.2,27
26,82.3,-7.9,5.9,5.6,-1.2,33,45,100,44,39,54,52,53,60.0,74,74,75,1385.1,36,43,39,0.9,284.0,311.4,294.5,50.0,0.363658537,-0.363658537,0.163219512,0.159853659,-0.043658537,399.0,397.1,396.6,40,41,41,64,72,67,51,90.3,36,-139,54701,0,-96,-14810,0,54562,-14906,12.2,28
26,157.9,35.7,11.8,11.0,1.7,35,46,112,46,44,65,54,62,74.0,110,103,104,1671.4,44,48,48,1.0,1478.8,1514.5,1500.5,50.0,0.292585366,-0.378536585,0.86804878,0.871512195,-0.102195122,401.4,399.0,399.7,50,51,50,71,79,76,52,122.2,39,0,298145,0,0,-34909,0,298145,-34909,14.8,29
25,83.4,-16.7,4.7,4.6,-0.8,33,45,99,45,38,55,54,53,55.0,72,71,72,1267.7,36,43,39,0.6,157.3,176.8,147.5,50.0,0.273804878,-0.273804878,0.06195122,0.06204878,-0.063804878,397.2,394.7,394.9,39,40,40,61,67,61,51,100.1,36,0,21099,0,0,-21792,0,21099,-21792,11.2,26
25,118.6,-2.2,8.0,7.4,-2.2,32,45,101,45,38,60,54,57,64.0,80,78,79,1615.9,39,45,39,1.0,569.6,613.8,594.2,50.1,0.487804878,-0.487804878,0.338536585,0.338439024,-0.072780488,399.7,397.2,397.5,40,41,41,62,68,63,51,120.7,36,0,115670,0,0,-24875,0,115670,-24875,14.3,26
25,116.4,2.6,7.5,7.2,-2.2,32,45,100,45,38,61,55,56,63.0,79,77,78,1585.2,39,44,38,1.0,525.7,567.8,548.3,49.9,0.487804878,-0.487804878,0.313414634,0.313463415,-0.067853659,400.9,398.6,398.5,40,41,41,62,68,62,51,113.8,37,0,107237,0,0,-23209,0,107237,-23209,14.0,26
24,141.7,33.5,6.8,6.3,-2.0,31,44,98,44,38,60,56,50,56.0,72,71,72,1448.3,36,43,39,1.0,347.7,388.0,365.7,50.0,0.487707317,-0.487707317,0.206,0.206487805,-0.052341463,397.4,394.9,394.7,40,41,41,59,65,59,51,108.2,36,0,70723,0,0,-17884,0,70723,-17884,12.8,25
23,122.0,1.6,5.5,5.0,-1.2,31,45,101,45,38,59,56,50,54.0,73,72,73,1349.2,33,44,38,0.8,196.8,228.2,206.2,50.0,0.328926829,-0.328926829,0.109512195,0.10804878,-0.041804878,400.5,398.3,397.7,39,41,40,66,75,72,50,120.4,35,-336,37522,0,-304,-14012,0,37186,-14315,11.9,24
26,278.8,-10.9,4.2,4.4,-0.2,36,40,52,40,39,49,44,38,55.0,46,46,46,1257.3,33,37,39,0.8,109.7,130.0,113.4,50.0,0.252585366,-0.252585366,0.052634146,0.050487805,-0.034487805,401.0,399.1,398.3,39,41,40,68,73,67,47,289.7,34,-131,17322,0,-146,-11560,0,17191,-11706,11.1,31
26,278.3,36.2,4.5,4.5,-0.7,36,42,85,43,38,51,46,60,67.0,64,63,64,1257.1,34,40,38,0.7,126.7,151.2,126.8,50.0,0.28204878,-0.28204878,0.059219512,0.058780488,-0.048585366,397.3,395.2,394.7,39,40,40,70,74,69,50,242.0,35,0,19977,0,0,-16594,0,19977,-16594,11.1,31
27,277.4,18.6,4.0,4.0,-0.1,40,45,98,45,38,50,48,60,69.0,68,67,68,1253.2,35,43,38,0.6,77.9,95.9,73.8,50.0,0.145804878,-0.145804878,0.03,0.028487805,-0.032536585,400.4,398.5,398.0,38,40,39,73,77,72,51,258.8,36,-98,9897,0,-90,-10978,0,9800,-11068,11.1,33
23,229.4,-9.5,4.3,4.1,-0.2,33,40,90,41,38,48,44,55,64.0,64,63,65,1261.3,30,38,39,0.7,89.8,106.0,86.3,50.0,0.183170732,-0.183170732,0.039219512,0.03604878,-0.031414634,400.6,398.7,398.2,39,41,40,70,73,66,50,238.9,32,-133,12397,0,-164,-10550,0,12264,-10714,11.1,27
25,245.0,4.6,4.2,4.2,-0.2,35,41,92,42,38,49,45,53,64.0,63,62,64,1259.4,31,40,38,0.7,94.5,112.8,96.6,50.0,0.214,-0.214,0.046731707,0.042780488,-0.031317073,399.1,397.3,396.7,38,39,39,71,74,67,49,240.3,33,-448,15087,0,-501,-10179,0,14639,-10679,11.1,29
26,281.5,41.5,3.9,3.9,0.2,36,42,94,43,38,49,45,54,64.0,64,63,64,1255.9,32,41,38,0.7,77.0,91.2,75.1,50.0,0.151609756,-0.151609756,0.031707317,0.027463415,-0.026097561,400.6,398.7,398.2,39,40,40,71,75,68,50,240.0,34,-264,9787,0,-303,-8625,0,9523,-8928,11.1,31
26,296.6,21.6,4.7,4.5,-0.5,36,42,94,43,39,49,45,54,63.0,63,62,64,1259.1,33,41,39,0.8,97.5,117.2,99.8,50.0,0.227121951,-0.227121951,0.060926829,0.045365854,-0.030634146,400.5,398.7,398.1,39,41,40,71,75,68,50,275.0,34,-320,15673,0,-378,-10015,0,15352,-10394,11.1,32
26,261.1,-12.8,4.4,4.2,-0.4,38,43,97,44,39,50,46,54,64.0,66,65,66,1256.5,33,42,39,0.8,96.5,110.8,92.3,50.0,0.204146341,-0.204146341,0.044829268,0.041317073,-0.030195122,403.0,401.0,400.8,39,41,41,72,76,69,50,273.9,35,-151,14353,0,-164,-10172,0,14203,-10335,11.1,32
26,275.5,-7.2,4.3,4.2,-0.3,38,44,95,44,38,49,46,54,63.0,64,63,65,1255.0,33,42,38,0.8,94.6,108.9,93.8,50.0,0.211268293,-0.211268293,0.046341463,0.04195122,-0.028780488,399.7,397.8,397.5,39,40,40,72,76,69,51,282.7,35,-545,14857,0,-616,-9273,0,14312,-9889,11.1,32
26,257.0,-19.3,4.8,4.5,-0.7,38,44,95,44,38,50,46,54,64.0,64,63,65,1274.2,33,41,39,0.8,130.4,148.3,130.0,50.0,0.27497561,-0.27497561,0.066585366,0.064097561,-0.036243902,399.1,397.2,397.1,39,41,40,72,76,69,50,276.4,35,-215,22040,0,-291,-12033,0,21825,-12324,11.2,32
27,262.1,-20.9,4.7,4.6,-0.7,39,44,96,44,38,51,47,54,64.0,66,65,66,1269.0,34,42,38,0.8,130.0,149.0,131.3,50.0,0.285756098,-0.285756098,0.068682927,0.067365854,-0.03297561,399.3,397.3,397.2,39,40,40,73,76,70,51,283.0,35,-114,23132,0,-113,-11153,0,23018,-11265,11.2,32
21,204.9,0.0,4.0,4.2,-0.2,31,36,46,35,38,46,42,40,49.0,42,42,42,1251.4,27,33,39,0.5,172.0,188.0,177.8,50.0,0.19102439,-0.19102439,0.03902439,0.038682927,-0.040341463,399.0,396.7,395.9,40,41,41,70,73,67,51,204.9,30,0,13209,0,0,-14076,0,13209,-14076,11.1,24
22,176.3,-26.9,4.0,4.3,-0.2,33,35,58,36,38,47,42,47,56.0,50,50,50,1255.7,29,33,39,0.8,107.8,125.6,106.8,50.0,0.233756098,-0.233756098,0.051268293,0.050878049,-0.032243902,398.0,396.0,395.8,39,41,40,69,71,65,50,203.1,30,0,17296,0,0,-10994,0,17296,-10994,11.1,26
27,278.7,3.6,4.8,4.7,-0.9,35,39,49,39,39,47,42,41,46.0,45,45,45,1265.1,33,37,40,0.8,124.8,147.5,125.2,50.0,0.320292683,-0.320292683,0.066634146,0.066439024,-0.038243902,402.3,400.4,400.3,40,41,41,65,67,62,45,275.0,35,0,22685,0,0,-13075,0,22685,-13075,11.2,31
27,292.9,10.2,4.7,4.7,-0.8,36,40,55,40,38,49,43,45,53.0,49,49,49,1260.8,33,37,39,0.8,138.2,160.4,137.2,50.0,0.337658537,-0.337658537,0.072682927,0.072829268,-0.040780488,401.8,399.7,399.6,39,41,40,65,68,62,46,282.7,35,0,25003,0,0,-13952,0,25003,-13952,11.1,32
27,275.3,-3.6,4.7,4.7,-0.5,36,40,60,41,38,50,43,47,56.0,52,52,52,1279.0,33,38,38,0.9,140.1,157.5,143.2,50.0,0.295756098,-0.295756098,0.078585366,0.073219512,-0.031512195,402.7,400.6,400.5,39,40,40,65,68,63,46,278.8,35,-210,25168,0,-307,-10474,0,24958,-10781,11.3,32
27,256.7,-10.6,4.3,4.3,-0.4,37,40,64,41,39,49,43,48,58.0,54,54,54,1254.0,33,38,39,0.8,96.4,114.5,91.8,50.0,0.219512195,-0.219512195,0.045121951,0.04404878,-0.033463415,402.5,400.3,400.2,40,41,41,66,68,63,47,267.3,35,-27,15058,0,-49,-11355,0,15032,-11405,11.1,33
35,86.0,-4.6,6.9,6.6,-2.0,44,46,57,46,44,53,46,46,52.0,50,50,50,1480.2,39,44,44,1.0,390.3,422.7,401.3,50.0,0.487658537,-0.487658537,0.231609756,0.230780488,-0.050780488,399.9,397.9,398.2,45,46,46,75,77,71,46,90.6,41,0,78771,0,0,-17302,0,78771,-17302,13.1,38
35,107.2,3.6,6.1,6.0,-1.7,44,46,62,46,42,56,47,50,57.0,55,54,55,1375.9,40,44,43,0.9,307.3,335.7,313.4,50.0,0.463804878,-0.463804878,0.176780488,0.177317073,-0.051609756,398.9,396.7,397.0,43,45,44,75,78,72,44,103.6,41,0,60838,0,0,-17635,0,60838,-17635,12.1,38
35,109.4,6.1,5.6,5.4,-1.3,44,47,68,47,42,55,48,51,57.0,58,57,58,1334.0,40,45,42,0.9,239.6,263.3,241.3,50.0,0.394097561,-0.394097561,0.132585366,0.132585366,-0.047658537,398.9,396.9,397.1,42,44,43,75,78,72,46,103.3,41,0,45240,0,0,-16272,0,45240,-16272,11.8,37
35,133.2,-6.9,5.3,5.3,-1.2,44,47,72,47,42,55,48,51,58.0,61,60,61,1310.0,40,45,42,0.9,219.2,242.7,219.9,50.0,0.386195122,-0.386195122,0.119268293,0.117902439,-0.049268293,398.3,396.0,396.4,42,44,43,75,78,72,48,140.1,41,0,40200,0,0,-16845,0,40200,-16845,11.6,38
35,143.9,-0.4,5.7,5.5,-1.4,44,47,76,48,42,56,49,52,60.0,63,63,63,1354.4,41,46,42,0.9,239.3,264.3,240.4,50.0,0.42297561,-0.42297561,0.13195122,0.132195122,-0.051170732,398.4,396.2,396.6,42,44,43,76,79,73,49,144.2,41,0,45319,0,0,-17478,0,45319,-17478,12.0,37
35,123.1,-21.1,5.9,5.4,-1.5,43,48,80,48,42,56,49,53,60.0,65,64,65,1365.4,41,46,42,0.9,223.2,246.5,225.2,50.0,0.394780488,-0.394780488,0.12502439,0.122829268,-0.045268293,401.1,399.0,399.2,42,44,43,76,79,73,50,144.2,42,0,41948,0,0,-15471,0,41948,-15471,12.1,37
35,127.8,22.1,7.1,6.7,-2.0,43,48,83,49,42,58,51,55,64.0,68,67,68,1494.6,41,47,43,0.9,427.2,457.2,434.5,50.0,0.481463415,-0.481463415,0.247902439,0.247268293,-0.065512195,399.6,397.5,397.9,43,45,44,76,79,73,51,105.7,42,0,84152,0,0,-22369,0,84152,-22369,13.2,37
34,85.9,-22.5,5.7,5.5,-1.3,41,49,97,47,43,60,56,63,67.0,75,75,75,1358.0,42,45,43,0.9,245.9,267.6,243.9,50.0,0.399853659,-0.399853659,0.133512195,0.131658537,-0.05604878,399.3,397.3,397.8,43,45,44,79,83,77,50,108.5,43,0,44472,0,0,-19184,0,44472,-19184,12.0,35
31,100.2,-6.1,10.9,10.0,-0.3,40,50,106,49,48,65,54,71,81.0,97,92,93,1669.3,43,49,50,1.0,1320.8,1353.7,1336.4,50.0,0.366829268,-0.451365854,0.770634146,0.771902439,-0.09902439,398.5,396.2,397.1,52,53,53,85,88,83,46,106.4,42,0,263555,0,0,-33814,0,263554,-33814,14.7,33
30,98.5,-7.9,11.4,10.8,0.7,39,50,113,49,50,67,55,72,86.0,112,105,106,1670.2,45,51,53,1.0,1479.3,1511.8,1494.8,50.0,0.303121951,-0.397073171,0.862731707,0.86404878,-0.099463415,398.2,395.7,396.9,55,56,55,91,95,90,50,106.4,43,0,294929,0,0,-33976,0,294929,-33976,14.7,33
30,95.1,-11.3,11.6,11.0,0.9,39,50,117,50,50,68,56,74,90.0,119,112,113,1673.3,49,53,53,1.0,1545.6,1579.3,1561.7,50.0,0.267609756,-0.377268293,0.905853659,0.909560976,-0.105414634,401.2,398.7,399.9,55,57,55,93,96,90,52,106.4,43,0,310606,0,0,-36017,0,310606,-36017,14.8,32
29,95.9,-11.9,11.5,10.7,0.4,38,51,119,51,50,68,56,77,92.0,122,116,117,1673.9,50,54,53,1.0,1483.9,1517.4,1498.7,50.0,0.299317073,-0.408780488,0.871609756,0.874682927,-0.101512195,401.9,399.5,400.5,55,56,55,93,96,90,46,107.8,44,0,299431,0,0,-34735,0,299431,-34735,14.8,32
28,133.7,25.9,9.0,8.6,-1.8,38,52,117,51,44,66,55,76,92.0,114,111,113,1629.3,48,53,46,1.0,919.0,952.3,928.7,50.0,0.478097561,-0.487756098,0.536097561,0.536097561,-0.093512195,399.3,397.1,398.0,47,48,47,91,95,89,46,107.8,43,0,183062,0,0,-31959,0,183062,-31959,14.4,31
27,119.4,4.2,6.7,6.5,-1.9,38,52,115,51,41,63,53,75,91.0,107,105,107,1450.4,46,51,41,0.9,399.0,431.6,403.7,50.0,0.480878049,-0.480878049,0.228878049,0.229219512,-0.071121951,400.6,398.3,398.8,41,43,42,89,93,86,48,115.2,42,0,78501,0,0,-24316,0,78501,-24316,12.8,30
25,95.0,-12.4,7.9,7.2,-2.2,35,48,104,45,37,59,54,69,81.0,87,86,88,1586.9,41,42,38,1.0,520.3,554.3,528.5,49.9,0.487804878,-0.487804878,0.308,0.307170732,-0.061463415,401.2,398.9,399.6,39,41,40,79,83,75,51,107.4,39,0,104926,0,0,-20993,0,104926,-20993,14.0,28
26,146.0,38.2,10.9,10.1,-0.4,34,46,103,43,43,64,53,68,82.0,98,93,94,1670.5,42,43,46,1.0,1332.5,1368.2,1341.1,50.0,0.391365854,-0.477756098,0.778487805,0.77902439,-0.098829268,399.1,396.3,397.8,48,50,49,76,81,74,52,107.8,38,0,266560,0,0,-33757,0,266560,-33758,14.7,28
27,107.4,-0.4,9.4,8.7,-1.8,34,46,104,44,41,63,52,68,82.0,94,91,93,1662.0,43,44,43,1.0,931.9,966.2,937.7,49.9,0.487804878,-0.487804878,0.544634146,0.544731707,-0.087317073,399.4,396.8,398.0,44,46,45,76,81,74,53,107.8,38,0,186447,0,0,-29867,0,186447,-29867,14.7,28
26,82.1,-36.6,5.6,5.3,-1.0,34,44,90,42,39,51,52,55,63.0,69,69,70,1326.8,36,40,39,0.9,226.0,246.6,222.9,50.0,0.340585366,-0.340585366,0.127073171,0.120780488,-0.04595122,402.1,399.7,400.0,40,41,41,69,74,66,51,118.6,36,-418,41462,0,-16,-15618,0,41044,-15634,11.7,27
26,65.9,-5.8,4.7,4.5,-0.6,33,45,90,44,38,51,50,51,53.0,66,65,66,1289.1,36,42,38,0.7,142.6,158.3,139.1,50.0,0.223414634,-0.223414634,0.068536585,0.064731707,-0.034829268,398.4,396.1,396.2,39,40,40,66,71,63,51,71.7,36,-407,22290,0,-395,-11506,0,21883,-11901,11.4,27
27,111.3,-9.4,11.0,10.3,0.0,34,44,96,44,42,62,56,58,64.0,80,77,77,1670.6,40,43,46,1.0,1360.8,1399.2,1385.7,50.0,0.361853659,-0.43995122,0.799317073,0.80097561,-0.086341463,399.2,396.6,397.2,47,49,48,63,69,61,47,120.7,37,0,273444,0,0,-29481,0,273444,-29481,14.7,28
26,140.1,13.7,4.1,4.0,0.0,34,44,96,42,38,54,51,57,56.0,73,73,74,1257.2,37,39,39,0.7,106.6,120.8,104.2,50.0,0.178,-0.178,0.03804878,0.033365854,-0.042487805,398.9,396.7,396.0,39,40,40,63,69,62,51,126.4,37,-374,11790,0,-307,-14207,0,11416,-14514,11.1,27
26,116.0,-18.4,4.9,4.5,-1.0,34,44,96,42,39,53,51,56,55.0,72,71,72,1260.7,36,40,39,0.6,156.5,176.4,147.6,50.0,0.262682927,-0.262682927,0.053756098,0.053658537,-0.072780488,400.2,398.0,397.6,39,41,40,63,69,61,51,134.4,36,0,18351,0,0,-24838,0,18351,-24838,11.1,27
26,151.4,37.3,4.2,4.1,-0.3,35,44,78,42,39,48,47,46,51.0,56,56,56,1257.5,33,40,39,0.7,103.4,118.1,102.8,50.0,0.193463415,-0.193463415,0.040292683,0.038,-0.036195122,398.8,396.7,396.2,39,41,40,60,66,62,52,114.1,35,-311,13255,0,-283,-11918,0,12944,-12202,11.1,30
24,131.2,-9.5,10.0,9.3,-0.9,33,48,104,45,39,62,55,67,83.0,102,98,100,1643.5,42,44,42,1.0,1094.5,1130.4,1108.4,50.1,0.424585366,-0.462487805,0.64204878,0.64595122,-0.089317073,401.9,399.2,400.2,44,45,44,79,86,82,53,140.7,38,0,220700,0,0,-30504,0,220700,-30504,14.5,27
24,119.9,-14.5,4.3,4.1,-0.3,33,47,101,43,38,57,55,63,75.0,88,87,88,1254.1,39,41,38,0.7,106.4,120.2,97.1,50.0,0.208390244,-0.208390244,0.045512195,0.04395122,-0.036,401.9,399.6,399.6,39,40,40,75,83,78,44,134.4,37,-402,15567,0,-356,-12008,0,15166,-12364,11.1,26
24,137.2,2.7,4.2,3.9,-0.4,33,46,99,42,38,54,53,61,69.0,84,83,85,1253.2,37,40,39,0.7,81.4,92.8,71.9,50.0,0.143414634,-0.143414634,0.029853659,0.028487805,-0.028731707,402.3,400.0,400.0,39,41,40,74,81,76,45,134.4,36,0,9650,0,0,-9803,0,9650,-9803,11.1,26
22,153.1,-27.2,4.2,4.2,-0.4,30,43,94,43,38,51,49,48,48.0,63,63,64,1253.3,32,40,38,0.7,100.9,121.1,95.8,50.0,0.193707317,-0.193707317,0.040243902,0.039707317,-0.038243902,399.7,397.5,396.8,39,40,40,60,67,60,49,180.3,33,0,13568,0,0,-13083,0,13568,-13083,11.1,24
22,152.4,-28.0,4.1,4.2,-0.2,30,43,94,43,38,50,48,47,48.0,63,63,63,1258.8,32,40,39,0.6,113.2,133.1,103.8,50.0,0.194439024,-0.194439024,0.039902439,0.039512195,-0.049707317,401.1,398.8,398.3,39,40,40,60,66,60,49,180.4,33,0,13491,0,0,-16923,0,13491,-16923,11.1,24
22,179.6,-7.0,3.9,3.9,0.0,30,43,95,42,38,50,48,46,47.0,63,62,63,1252.0,32,40,39,0.6,104.8,120.4,95.2,50.0,0.154243902,-0.154243902,0.032146341,0.029804878,-0.046195122,401.8,399.4,398.8,39,40,40,59,66,59,49,186.7,33,-438,10641,0,-353,-15451,0,10202,-15803,11.1,24
25,201.5,-32.1,4.1,4.0,-0.3,35,39,68,40,39,46,43,51,57.0,50,50,51,1254.6,31,37,39,0.5,135.8,149.5,141.4,50.0,0.168292683,-0.168292683,0.034487805,0.033365854,-0.029073171,399.2,397.6,396.5,40,41,41,66,72,67,51,233.6,33,-104,11538,0,-120,-9545,0,11434,-9665,11.1,30
25,249.2,44.9,4.6,4.3,-0.7,36,40,71,40,38,48,43,53,60.0,53,53,53,1260.6,32,38,39,0.5,214.4,230.0,221.0,50.0,0.239512195,-0.239512195,0.049463415,0.048829268,-0.063707317,398.7,396.9,396.0,39,41,40,67,72,67,51,204.2,34,0,16662,0,0,-21944,0,16662,-21944,11.1,31
26,227.1,16.2,4.5,4.5,-0.4,37,42,84,42,38,50,45,56,65.0,62,61,62,1268.6,33,40,38,0.8,123.4,143.8,128.9,50.0,0.259219512,-0.259219512,0.066780488,0.062536585,-0.031609756,400.1,398.3,397.7,39,40,40,68,73,68,52,210.8,35,-174,21474,0,-203,-10536,0,21300,-10739,11.2,32
26,198.9,-10.6,4.4,4.2,-0.3,37,42,85,43,38,50,45,57,65.0,63,62,63,1264.5,33,40,39,0.8,92.6,106.5,93.8,50.0,0.199853659,-0.199853659,0.046292683,0.040926829,-0.026146341,400.4,398.7,398.2,39,40,40,68,73,69,52,209.4,35,-232,14245,0,-295,-8622,0,14013,-8917,11.2,32
26,214.2,-29.9,4.5,4.2,-0.5,37,43,90,43,38,50,46,57,66.0,66,65,66,1261.9,33,41,38,0.6,184.4,196.7,193.2,50.0,0.217219512,-0.217219512,0.049512195,0.046682927,-0.027512195,401.6,399.8,399.0,39,40,40,69,74,69,52,244.1,35,-168,16105,0,-158,-9115,0,15937,-9273,11.1,31
27,209.3,-53.4,4.7,4.3,-0.7,38,43,87,43,39,48,45,55,65.0,61,61,62,1271.7,33,40,39,0.7,103.9,124.4,105.1,50.0,0.216439024,-0.216439024,0.045219512,0.043560976,-0.038682927,400.4,398.7,397.9,40,41,41,69,74,70,51,262.7,35,-64,15081,0,-72,-13166,0,15017,-13238,11.2,32
26,235.9,-26.1,4.0,4.0,0.0,39,44,97,44,38,51,47,54,65.0,66,65,67,1257.0,33,42,38,0.7,78.4,96.1,79.1,50.0,0.159463415,-0.159463415,0.032634146,0.03097561,-0.030195122,399.1,397.4,396.5,39,40,40,73,77,72,51,262.0,35,-160,10685,0,-166,-10196,0,10524,-10362,11.1,32
27,256.7,-25.2,4.4,4.3,-0.5,40,41,44,41,38,45,39,39,45.0,36,36,35,1259.5,32,38,38,0.7,106.9,125.4,106.4,50.0,0.232146341,-0.232146341,0.049268293,0.04902439,-0.038341463,398.4,396.6,396.1,39,40,40,70,73,67,52,282.0,35,0,16660,0,0,-13070,0,16660,-13070,11.1,34
27,247.4,-19.5,4.5,4.5,-0.6,40,41,50,41,39,48,40,43,51.0,41,40,40,1266.9,33,38,39,0.7,129.4,149.0,128.8,50.0,0.281073171,-0.281073171,0.061073171,0.061170732,-0.044243902,398.7,396.7,396.4,39,41,40,71,73,67,52,266.9,35,0,20840,0,0,-15129,0,20840,-15129,11.2,34
29,297.0,-2.5,4.7,4.3,-0.5,39,42,60,41,39,47,43,42,46.0,46,46,46,1276.1,34,39,39,0.7,104.0,125.6,116.1,50.0,0.227804878,-0.227804878,0.057073171,0.04995122,-0.030536585,401.5,400.1,398.3,40,41,41,72,75,69,48,299.5,36,-278,17297,0,-365,-10106,0,17019,-10471,11.3,34
28,262.3,-36.5,5.2,5.0,-1.1,39,42,64,42,39,50,44,47,55.0,50,49,49,1293.0,34,39,40,0.9,178.6,200.9,184.1,50.0,0.379365854,-0.379365854,0.098536585,0.097609756,-0.043707317,399.6,397.7,397.5,40,41,41,72,75,69,49,298.8,36,-23,33317,0,-41,-14890,0,33294,-14931,11.4,34
26,337.3,51.1,5.9,5.7,-1.6,40,44,96,45,39,55,50,54,70.0,69,67,69,1339.1,35,42,39,0.9,251.5,280.1,263.3,50.0,0.470634146,-0.470634146,0.145707317,0.14595122,-0.047317073,397.3,395.4,395.3,40,41,41,75,78,72,52,286.2,36,0,49810,0,0,-16151,0,49810,-16151,11.8,34
26,303.7,14.6,4.2,4.1,0.1,40,45,96,45,38,51,48,57,68.0,64,64,65,1256.4,35,42,38,0.8,86.5,103.4,88.7,50.0,0.18502439,-0.18502439,0.041073171,0.034829268,-0.028341463,401.3,399.6,398.8,38,40,39,75,78,73,51,289.0,36,-639,12399,0,-576,-9081,0,11759,-9657,11.1,32
25,95.8,-16.9,5.1,5.1,-1.1,35,36,38,36,39,46,39,36,46.0,36,36,36,1299.3,30,33,40,0.8,204.0,230.7,214.0,50.0,0.364146341,-0.364146341,0.098731707,0.098731707,-0.039902439,398.8,396.7,396.2,40,42,41,69,72,65,52,112.7,32,0,33706,0,0,-13078,0,33706,-13078,11.5,30
25,105.1,-13.9,4.7,4.6,-0.5,35,36,45,36,38,49,41,42,52.0,41,41,41,1281.0,31,34,39,0.8,142.6,161.9,145.2,50.0,0.284878049,-0.284878049,0.074195122,0.069707317,-0.038878049,398.7,396.6,396.1,39,41,40,69,72,65,52,119.0,32,-207,24104,0,-296,-13024,0,23897,-13320,11.3,31
26,119.2,-14.2,5.3,5.0,-1.1,36,37,54,38,39,50,42,49,57.0,48,47,47,1333.9,32,36,39,0.8,183.6,208.4,188.3,50.0,0.327756098,-0.327756098,0.099560976,0.098585366,-0.043463415,400.7,398.6,398.3,40,41,41,70,72,66,52,133.3,32,0,33686,0,0,-14862,0,33686,-14862,11.8,33
26,97.1,-16.3,6.2,6.1,-1.8,37,37,60,39,38,52,44,50,60.0,52,51,51,1363.3,32,36,39,1.0,304.0,331.8,314.2,50.0,0.487804878,-0.487804878,0.17795122,0.17795122,-0.053560976,401.3,399.4,399.3,40,41,41,70,73,66,52,113.4,33,0,60867,0,0,-18306,0,60867,-18306,12.0,33
27,112.0,-17.6,4.8,4.7,-0.7,39,40,79,42,38,51,45,52,66.0,61,61,61,1284.2,34,39,38,0.8,150.3,168.1,148.4,50.0,0.307463415,-0.307463415,0.07804878,0.076487805,-0.039365854,399.8,397.9,398.0,39,40,40,71,74,67,52,129.5,35,-156,26305,0,-209,-13230,0,26149,-13440,11.3,35
28,81.8,-52.6,6.2,5.9,-1.8,40,41,83,43,39,54,47,54,68.0,65,64,65,1388.9,35,40,39,0.9,293.3,318.2,295.5,50.0,0.461463415,-0.461463415,0.166926829,0.167268293,-0.054926829,400.2,398.3,398.7,40,41,41,72,75,68,52,134.4,35,0,57262,0,0,-18763,0,57262,-18763,12.3,34
28,104.4,-35.9,6.1,5.9,-1.6,40,42,85,43,37,55,48,54,69.0,66,65,66,1400.9,35,41,38,0.9,305.9,330.6,309.9,50.0,0.411365854,-0.411365854,0.175121951,0.175463415,-0.046,400.2,398.1,398.4,39,40,40,72,75,68,52,140.4,35,0,59817,0,0,-15708,0,59817,-15708,12.4,34
29,147.9,2.9,5.0,4.7,-0.7,40,43,90,44,38,52,48,53,68.0,66,65,67,1319.4,35,41,39,0.8,160.0,173.8,155.5,50.0,0.294292683,-0.294292683,0.082341463,0.078390244,-0.037609756,398.0,395.9,396.3,39,40,40,72,75,69,52,144.9,36,-104,26957,0,-135,-12710,0,26854,-12846,11.6,34
30,197.5,59.9,8.7,8.1,-1.6,41,45,100,44,41,61,53,66,79.0,86,84,85,1592.1,40,43,42,1.0,794.8,823.0,800.8,50.0,0.462341463,-0.479902439,0.461609756,0.461707317,-0.083414634,399.7,397.7,398.5,43,45,44,81,85,79,53,137.6,39,0,157273,0,0,-28483,0,157273,-28483,14.0,35
27,104.2,-16.1,6.4,6.0,-1.9,36,44,97,43,37,58,53,57,61.0,72,71,72,1406.4,36,41,37,1.0,292.0,331.2,317.9,50.0,0.485902439,-0.485902439,0.174682927,0.175609756,-0.046634146,397.0,394.9,394.2,38,40,39,84,86,80,50,120.4,37,0,60007,0,0,-15947,0,60007,-15947,12.4,28
